stage,description,example
alter,"The alter stage assigns a value to a field name based on the returned value of the function. The field does not have to be known to the dataset or preset schema that you are querying. Further, you can overwrite the current value for a known field using this stage.After defining a field using the alter stage, you can apply other stages, such as filtering, to the new field or field value.","dataset = xdr_data | fields actor_primary_username,os_actor_primary_username,causality_actor_primary_username | alter default_username = coalesce(actor_primary_username, os_actor_primary_username, causality_actor_primary_username) | filter default_username != 'root'"
arrayexpand,"The arrayexpand stage accepts a field that contains an array, and it creates a record in the result set for each item in the array, up to <limit> number of records.","dataset=my_dataset | arrayexpand array_values limit 3"
bin,"The bin stage enables you to group events by quantity or time span. The most common use case is for timecharts. You can add the bin stage to your queries using two different formats depending on whether you are grouping events by quantity or time span. Currently, the bin stage is only supported using the equal sign (=) operator in your queries without any boolean operators (and, or). When you group events of a particular field by quantity, the bin stage is used with bins to define how to divide the events.","dataset = xdr_data | filter action_total_upload != 0 and action_total_upload != null  | bin action_total_upload bins = 50 | limit 1000"
call,"The call stage is used to reference a predefined query from the Query Library, including your Personal Query Library.","call 'CreateRole operation parsed to fields' | filter accessKeyId = '1234' | limit 100"
comp approx_count,"The approx_count approximate aggregate is a comp function that counts the number of distinct values in the given field, and returns an approximate result as a single interger value, for all records that contain matching values for the fields identified in the by clause. Use this approximate aggregate function to produce approximate results, instead of exact results used with regular aggregate functions, which are more scalable in terms of memory usage and time.","dataset = xdr_data | fields event_id | comp approx_count(event_id)"
comp approx_quantiles,"The approx_quantiles approximate aggregate is a comp function returns the approximate boundaries for a group of distinct or non-distinct values (default false) for the specified field, for all records that contain matching values for the fields identified in the by clause. This function returns an array of <number> + 1 elements, where the first element is the approximate minimum and the last element is the approximate maximum. Use this approximate aggregate function to produce approximate results, instead of exact results used with regular aggregate functions, which are more scalable in terms of memory usage and time.","dataset = xdr_data | fields event_id | comp approx_quantiles(event_id, 100, true)"
comp approx_top,"The approx_top approximate aggregate is a comp function that, depending on the number of parameters, returns either an approximate count or sum of top elements for the given field, for all records that contain matching values for the fields identified in the by clause. When a third parameter is specified, it references a field that contains a numeric value (weight) that is used to calculate a sum. The return value is an array with up to <number> of JSON strings. Each string represents an object (struct) containing 2 keys and corresponding values. The keys depend on whether a third parameter has been supplied or no","dataset = xdr_data | fields agent_id | comp approx_top(agent_id, 10)"
comp avg,"The avg aggregation is a comp function that returns the average value of an integer field, for all records that contain matching values for the fields identified in the by clause.","dataset = xdr_data | fields actor_process_image_path as Process_Path, actor_process_command_line as Process_CMD, action_total_download as Download | filter Download > 0 | limit 100 | comp avg(Download) as average_download by Process_Path, Process_CMD addrawdata = true as raw_data"
comp count,"The count aggregation is a comp function that returns a count of the number of values found for a field, for all records that contain matching values for the fields identified in the by clause.","dataset = xdr_data| fields actor_process_image_path as Process_Path, actor_process_command_line as Process_CMD, action_total_download as Download | filter Download > 0 | limit 100 | comp count(Process_Path) as num_process_path by process_path, process_cmd addrawdata = true as raw_data | sort desc process_path"
comp count_distinct,"The count_distinct aggregation is a comp function that returns a count of the number of unique values found for a field, for all records that contain matching values for the fields identified in the by clause.","dataset = xdr_data | fields actor_process_image_path as Process_Path, actor_process_command_line as Process_CMD, action_total_download as Download | filter Download > 0 | limit 100 | comp count_distinct(Process_Path) as num_process_path by process_path, process_cmd addrawdata = true as raw_data | sort desc process_path"
